Timestamp,Room_ID,Temperature_C,MQ2_Gas,True_Label
2026-04-15 20:57:02.428599,101,22.2,293,Normal
2026-04-15 20:58:02.428599,101,21.9,299,Normal
2026-04-15 20:59:02.428599,101,22.3,292,Normal
2026-04-15 21:00:02.428599,101,22.8,297,Normal
2026-04-15 21:01:02.428599,101,21.9,281,Normal
2026-04-15 21:02:02.428599,101,21.9,302,Normal
2026-04-15 21:03:02.428599,101,22.8,300,Normal
2026-04-15 21:04:02.428599,101,22.4,292,Normal
2026-04-15 21:05:02.428599,101,21.8,307,Normal
2026-04-15 21:06:02.428599,101,22.3,309,Normal
2026-04-15 21:07:02.428599,101,21.8,284,Normal
2026-04-15 21:08:02.428599,101,21.8,292,Normal
2026-04-15 21:09:02.428599,101,22.1,292,Normal
2026-04-15 21:10:02.428599,101,21.0,291,Normal
2026-04-15 21:11:02.428599,101,21.1,308,Normal
2026-04-15 21:12:02.428599,101,21.7,298,Normal
2026-04-15 21:13:02.428599,101,21.5,297,Normal
2026-04-15 21:14:02.428599,101,22.2,280,Normal
2026-04-15 21:15:02.428599,101,21.5,306,Normal
2026-04-15 21:16:02.428599,101,21.3,288,Normal
2026-04-15 21:17:02.428599,101,22.7,301,Normal
2026-04-15 21:18:02.428599,101,21.9,303,Normal
2026-04-15 21:19:02.428599,101,22.0,314,Normal
2026-04-15 21:20:02.428599,101,21.3,287,Normal
2026-04-15 21:21:02.428599,101,21.7,270,Normal
2026-04-15 21:22:02.428599,101,22.1,302,Normal
2026-04-15 21:23:02.428599,101,21.4,318,Normal
2026-04-15 21:24:02.428599,101,22.2,312,Normal
2026-04-15 21:25:02.428599,101,21.7,302,Normal
2026-04-15 21:26:02.428599,101,21.9,295,Normal
2026-04-15 21:27:02.428599,101,21.7,308,Normal
2026-04-15 21:28:02.428599,101,22.9,290,Normal
2026-04-15 21:29:02.428599,101,22.0,305,Normal
2026-04-15 21:30:02.428599,101,21.5,305,Normal
2026-04-15 21:31:02.428599,101,22.4,311,Normal
2026-04-15 21:32:02.428599,101,21.4,328,Normal
2026-04-15 21:33:02.428599,101,22.1,304,Normal
2026-04-15 21:34:02.428599,101,21.0,295,Normal
2026-04-15 21:35:02.428599,101,21.3,300,Normal
2026-04-15 21:36:02.428599,101,22.1,282,Normal
2026-04-15 21:37:02.428599,101,22.4,293,Normal
2026-04-15 21:38:02.428599,101,22.1,296,Normal
2026-04-15 21:39:02.428599,101,21.9,295,Normal
2026-04-15 21:40:02.428599,101,21.8,302,Normal
2026-04-15 21:41:02.428599,101,21.3,292,Normal
2026-04-15 21:42:02.428599,101,21.6,311,Normal
2026-04-15 21:43:02.428599,101,21.8,300,Normal
2026-04-15 21:44:02.428599,101,22.5,300,Normal
2026-04-15 21:45:02.428599,101,22.2,297,Normal
2026-04-15 21:46:02.428599,101,21.1,302,Normal
2026-04-15 21:47:02.428599,101,22.2,308,Normal
2026-04-15 21:48:02.428599,101,21.8,291,Normal
2026-04-15 21:49:02.428599,101,21.7,293,Normal
2026-04-15 21:50:02.428599,101,22.3,297,Normal
2026-04-15 21:51:02.428599,101,22.5,287,Normal
2026-04-15 21:52:02.428599,101,22.5,292,Normal
2026-04-15 21:53:02.428599,101,21.6,295,Normal
2026-04-15 21:54:02.428599,101,21.8,309,Normal
2026-04-15 21:55:02.428599,101,22.2,303,Normal
2026-04-15 21:56:02.428599,101,22.5,302,Normal
2026-04-15 21:57:02.428599,101,21.8,309,Normal
2026-04-15 21:58:02.428599,101,21.9,299,Normal
2026-04-15 21:59:02.428599,101,21.4,304,Normal
2026-04-15 22:00:02.428599,101,21.4,299,Normal
2026-04-15 22:01:02.428599,101,22.4,303,Normal
2026-04-15 22:02:02.428599,101,22.7,294,Normal
2026-04-15 22:03:02.428599,101,22.0,276,Normal
2026-04-15 22:04:02.428599,101,22.5,299,Normal
2026-04-15 22:05:02.428599,101,22.2,314,Normal
2026-04-15 22:06:02.428599,101,21.7,309,Normal
2026-04-15 22:07:02.428599,101,22.2,310,Normal
2026-04-15 22:08:02.428599,101,22.8,312,Normal
2026-04-15 22:09:02.428599,101,22.0,301,Normal
2026-04-15 22:10:02.428599,101,22.8,302,Normal
2026-04-15 22:11:02.428599,101,20.7,294,Normal
2026-04-15 22:12:02.428599,101,22.4,297,Normal
2026-04-15 22:13:02.428599,101,22.0,306,Normal
2026-04-15 22:14:02.428599,101,21.9,312,Normal
2026-04-15 22:15:02.428599,101,22.0,299,Normal
2026-04-15 22:16:02.428599,101,21.0,295,Normal
2026-04-15 22:17:02.428599,101,21.9,300,Normal
2026-04-15 22:18:02.428599,101,22.2,306,Normal
2026-04-15 22:19:02.428599,101,22.7,286,Normal
2026-04-15 22:20:02.428599,101,21.7,277,Normal
2026-04-15 22:21:02.428599,101,21.6,294,Normal
2026-04-15 22:22:02.428599,101,21.7,288,Normal
2026-04-15 22:23:02.428599,101,22.5,295,Normal
2026-04-15 22:24:02.428599,101,22.2,299,Normal
2026-04-15 22:25:02.428599,101,21.7,295,Normal
